date,NO2
2024-10-24,3.92166593883303e-05
2024-10-25,3.92166593883303e-05
2024-10-26,6.183005825732835e-05
2024-10-27,3.9949616621015593e-05
2024-10-28,4.688370154326549e-05
2024-10-29,3.4526731724326964e-05
2024-10-30,4.588528099702671e-05
2024-10-31,4.037183316540904e-05
2024-11-01,2.5248840699987337e-05
2024-11-02,1.0125848234565638e-05
2024-11-03,1.8240636488068653e-05
2024-11-04,2.635542474157167e-05
2024-11-05,3.447021299507469e-05
2024-11-06,3.715190905495547e-05
2024-11-07,4.800106671609683e-05
2024-11-08,6.49857417253467e-05
2024-11-09,4.035700476379134e-05
2024-11-10,3.181854913236748e-05
2024-11-11,2.328009350094362e-05
2024-11-12,2.0802075908932238e-05
2024-11-13,1.8324058316920855e-05
2024-11-14,1.584604072490947e-05
2024-11-15,1.3368023132898088e-05
2024-11-16,3.547739106579684e-05
2024-11-17,2.0573781739585684e-05
2024-11-18,2.201372080889996e-05
2024-11-19,2.9173022994655184e-05
2024-11-20,2.3345397494267672e-05
2024-11-21,3.0066776162129827e-05
2024-11-22,3.678815482999198e-05
2024-11-23,3.516155497477898e-05
2024-11-24,3.353495511956598e-05
2024-11-25,3.190835526435298e-05
2024-11-26,3.028175540913997e-05
2024-11-27,2.8655155553926967e-05
2024-11-28,2.7028555698713966e-05
2024-11-29,2.5401955843500964e-05
2024-11-30,2.377535598828796e-05
2024-12-01,2.2148756133074954e-05
2024-12-02,2.0522156277861953e-05
2024-12-03,1.889555642264895e-05
2024-12-04,2.0705527276732028e-05
2024-12-05,2.2515498130815104e-05
2024-12-06,2.432546898489818e-05
2024-12-07,2.6135439838981256e-05
2024-12-08,2.7945410693064332e-05
2024-12-09,2.9755381547147408e-05
2024-12-10,3.1565352401230484e-05
2024-12-11,1.9408493244554847e-05
2024-12-12,1.0359927443914785e-05
2024-12-13,1.3113616432747222e-06
2024-12-14,5.352162317093543e-06
2024-12-15,9.392962990912363e-06
2024-12-16,1.3433763664731185e-05
2024-12-17,1.7474564338550004e-05
2024-12-18,2.1515365012368824e-05
2024-12-19,2.5556165686187644e-05
2024-12-20,2.3916123495837383e-05
2024-12-21,2.227608130548712e-05
2024-12-22,2.063603911513686e-05
2024-12-23,1.89959969247866e-05
2024-12-24,1.950892207484382e-05
2024-12-25,2.0021847224901045e-05
2024-12-26,2.0534772374958266e-05
2024-12-27,1.9917166394378683e-05
2024-12-28,1.92995604137991e-05
2024-12-29,1.8681954433219516e-05
2024-12-30,1.8064348452639933e-05
2024-12-31,1.744674247206035e-05
2025-01-01,1.6829136491480767e-05
2025-01-02,1.6211530510901184e-05
2025-01-03,1.55939245303216e-05
2025-01-04,2.2755142310870724e-05
2025-01-05,2.9916360091419847e-05
2025-01-06,3.707757787196897e-05
2025-01-07,2.624515839973659e-05
2025-01-08,1.5412738927504204e-05
2025-01-09,4.58031945527182e-06
2025-01-10,1.0128912435902748e-05
2025-01-11,1.5677505416533677e-05
2025-01-12,1.6369089865163134e-05
2025-01-13,1.7060674313792594e-05
2025-01-14,1.775225876242205e-05
2025-01-15,1.844384321105151e-05
2025-01-16,1.9135427659680966e-05
2025-01-17,1.9827012108310426e-05
2025-01-18,2.0518596556939883e-05
2025-01-19,2.121018100556934e-05
2025-01-20,2.1901765454198797e-05
2025-01-21,2.2593349902828258e-05
2025-01-22,2.3284934351457715e-05
2025-01-23,2.3976518800087175e-05
2025-01-24,2.4668103248716632e-05
2025-01-25,2.535968769734609e-05
2025-01-26,2.022633331459171e-05
2025-01-27,1.8644432707838456e-05
2025-01-28,1.7062532101085206e-05
2025-01-29,1.5480631494331952e-05
2025-01-30,1.3898730887578698e-05
2025-01-31,1.2316830280825445e-05
2025-02-01,1.0734929674072193e-05
2025-02-02,1.9289750980533427e-05
2025-02-03,2.7844572286994666e-05
2025-02-04,1.7550076790939784e-05
2025-02-05,2.0940470070248313e-05
2025-02-06,2.4330863349556846e-05
2025-02-07,2.7721256628865376e-05
2025-02-08,1.4470681435341248e-05
2025-02-09,1.7067448084162606e-05
2025-02-10,1.9664214732983964e-05
2025-02-11,2.2260981381805323e-05
2025-02-12,2.485774803062668e-05
2025-02-13,3.3769794299587375e-05
2025-02-14,1.8094564438797534e-05
2025-02-15,1.1750257272069575e-05
2025-02-16,1.7415845150026144e-05
2025-02-17,2.223585412745403e-05
2025-02-18,2.7055863104881915e-05
2025-02-19,3.18758720823098e-05
2025-02-20,2.9900689999825165e-05
2025-02-21,2.7925507917340536e-05
2025-02-22,2.5950325834855903e-05
2025-02-23,2.3975143752371274e-05
2025-02-24,2.199996166988664e-05
2025-02-25,2.002477958740201e-05
2025-02-26,2.1568815706511184e-05
2025-02-27,2.3112851825620357e-05
2025-02-28,2.4656887944729533e-05
2025-03-01,4.029295769214514e-05
2025-03-02,2.4924767330958275e-05
2025-03-03,2.7182032226846783e-05
2025-03-04,1.742947301863751e-05
2025-03-05,1.6095728369691642e-05
2025-03-06,2.0454508861197002e-05
2025-03-07,2.4813289352702363e-05
2025-03-08,2.9172069844207726e-05
2025-03-09,2.5895339414698054e-05
2025-03-10,2.2618608985188377e-05
2025-03-11,1.9341878555678704e-05
2025-03-12,1.823076672735624e-05
2025-03-13,1.9532564692781307e-05
2025-03-14,2.0834362658206373e-05
2025-03-15,2.213616062363144e-05
2025-03-16,2.3437958589056507e-05
2025-03-17,2.4739756554481573e-05
2025-03-18,2.604155451990664e-05
2025-03-19,2.7343352485331707e-05
2025-03-20,2.8645150450756773e-05
2025-03-21,2.994694841618184e-05
2025-03-22,3.054701104095633e-05
2025-03-23,3.114707366573081e-05
2025-03-24,3.1747136290505296e-05
2025-03-25,2.0310492345743118e-05
2025-03-26,2.568857053120155e-05
2025-03-27,2.242591835965868e-05
2025-03-28,2.4473818086789837e-05
2025-03-29,2.2914823466635427e-05
2025-03-30,2.135582884648102e-05
2025-03-31,1.979683422632661e-05
2025-04-01,1.82378396061722e-05
2025-04-02,1.6678844986017793e-05
2025-04-03,1.7496576674602693e-05
2025-04-04,1.8314308363187592e-05
2025-04-05,1.9132040051772492e-05
2025-04-06,1.994977174035739e-05
2025-04-07,3.709635711857118e-05
2025-04-08,3.419558189913611e-05
2025-04-09,3.129480667970105e-05
2025-04-10,2.8394031460265978e-05
2025-04-11,2.549325624083091e-05
2025-04-12,2.2592481021395845e-05
2025-04-13,1.969170580196078e-05
2025-04-14,1.369334268019884e-05
2025-04-15,2.036023283835675e-05
2025-04-16,2.7027122996514663e-05
2025-04-17,3.097097154144043e-05
2025-04-18,3.4914820086366184e-05
2025-04-19,3.885866863129195e-05
2025-04-20,3.207659559241923e-05
2025-04-21,2.5294522553546507e-05
2025-04-22,1.851244951467379e-05
2025-04-23,2.6929921659757383e-05
2025-04-24,2.7718751880456693e-05
2025-04-25,2.3958181827765657e-05
2025-04-26,2.019761177507462e-05
2025-04-27,1.5198439541563856e-05
2025-04-28,2.009732588703628e-05
2025-04-29,4.839492794417311e-05
2025-04-30,3.494826250971528e-05
2025-05-01,2.2077853600421804e-05
2025-05-02,2.114374353823223e-05
2025-05-03,2.020963347604265e-05
2025-05-04,2.13759014968673e-05
2025-05-05,2.347358167753555e-05
2025-05-06,3.7188237911323085e-05
2025-05-07,4.8253295972244814e-05
2025-05-08,2.830260928021744e-05
2025-05-09,2.7951774200118962e-05
2025-05-10,2.7600939120020485e-05
2025-05-11,3.0662402423331514e-05
2025-05-12,2.9196699718643988e-05
2025-05-13,2.7730997013956465e-05
2025-05-14,2.626529430926894e-05
2025-05-15,1.397969037952862e-05
2025-05-16,2.6729737965069943e-05
2025-05-17,3.947978555061127e-05
2025-05-18,5.222983313615259e-05
2025-05-19,6.497988072169391e-05
2025-05-20,7.772992830723524e-05
2025-05-21,3.1429703085450456e-05
2025-05-22,2.9486095324197475e-05
2025-05-23,2.754248756294449e-05
2025-05-24,2.559887980169151e-05
2025-05-25,1.9736307270553272e-05
2025-05-26,2.8560919518996445e-05
2025-05-27,3.7385531767439614e-05
2025-05-28,4.621014401588278e-05
2025-05-29,3.222996565455105e-05
2025-05-30,4.1766120375541504e-05
2025-05-31,3.810015838704809e-05
2025-06-01,3.443419639855468e-05
2025-06-02,3.076823441006127e-05
2025-06-03,3.553059377736645e-05
2025-06-04,1.4819425814494023e-05
2025-06-05,2.6300787794752974e-05
2025-06-06,3.6180595998303033e-05
2025-06-07,3.435031339904526e-05
2025-06-08,3.252003079978749e-05
2025-06-09,3.0063255204974364e-05
2025-06-10,2.7606479610161234e-05
2025-06-11,2.5149704015348107e-05
2025-06-12,3.467714304861147e-05
2025-06-13,4.420458208187483e-05
2025-06-14,3.0315751018861192e-05
2025-06-15,1.6426919955847552e-05
2025-06-16,2.3028805003377784e-05
2025-06-17,2.614130835354445e-05
2025-06-18,2.6490299054178955e-05
2025-06-19,2.683928975481346e-05
2025-06-20,2.7188280455447966e-05
2025-06-21,2.7537271156082475e-05
2025-06-22,2.788626185671698e-05
2025-06-23,2.8235252557351487e-05
2025-06-24,2.737251770668081e-05
2025-06-25,2.77192062640097e-05
2025-06-26,2.8065894821338588e-05
2025-06-27,2.8412583378667478e-05
2025-06-28,2.8759271935996365e-05
2025-06-29,2.9105960493325256e-05
2025-06-30,2.145170310541289e-05
2025-07-01,1.893402486530249e-05
2025-07-02,3.526546697685262e-05
2025-07-03,3.163995150619788e-05
2025-07-04,2.8014436035543138e-05
2025-07-05,2.4388920564888394e-05
2025-07-06,2.9839822521656362e-05
2025-07-07,3.529072447842433e-05
2025-07-08,4.07416264351923e-05
2025-07-09,5.822792809340172e-05
2025-07-10,2.3318467356148176e-05
2025-07-11,2.657319123500201e-05
2025-07-12,2.8621820547414242e-05
2025-07-13,3.0670449859826476e-05
2025-07-14,3.271907917223871e-05
2025-07-15,3.297448597550101e-05
2025-07-16,3.3229892778763315e-05
2025-07-17,7.760136486467673e-05
2025-07-18,3.616692174546188e-05
2025-07-19,9.908904212352354e-05
2025-07-20,2.8468231903389096e-05
2025-07-21,6.127650431153597e-05
2025-07-22,3.426833154662745e-05
2025-07-23,3.519615438563051e-05
2025-07-24,2.601436108307098e-05
2025-07-25,2.133498810508172e-05
2025-07-26,5.629003135254607e-05
2025-07-27,3.176992504450027e-05
2025-07-28,2.9063618967484217e-05
2025-07-29,3.1685910926171346e-05
2025-07-30,3.4308202884858474e-05
2025-07-31,2.09211489163863e-05
2025-08-01,2.3344883288700657e-05
2025-08-02,1.205266698889318e-05
2025-08-03,2.224475883849664e-05
2025-08-04,5.384494807003648e-05
2025-08-05,4.2381052480777726e-05
2025-08-06,2.706616533032502e-05
2025-08-07,3.32667441398371e-05
2025-08-08,2.4342353299289243e-05
2025-08-09,1.4454216398007702e-05
2025-08-10,1.3543625755119136e-05
2025-08-11,2.865865280909929e-05
2025-08-12,3.447073640927556e-05
2025-08-13,2.9156450182199478e-05
2025-08-14,2.38421639551234e-05
2025-08-15,3.1949787626217585e-05
2025-08-16,2.7964652872469745e-05
2025-08-17,3.1630697776563466e-05
2025-08-18,2.2694612046810413e-05
2025-08-19,1.3758526317057356e-05
2025-08-20,4.8224405873043e-06
2025-08-21,6.414742529159412e-05
2025-08-22,5.01331905979896e-05
2025-08-23,1.7347391576549853e-05
2025-08-24,5.8451032600714825e-05
2025-08-25,6.317444785963744e-05
2025-08-26,4.781494317285251e-05
2025-08-27,4.91514292662032e-05
2025-08-28,5.876791935103635e-05
2025-08-29,4.32929791713832e-05
2025-08-30,3.280335567978909e-05
2025-08-31,2.231373218819499e-05
2025-09-01,2.932380311904126e-05
2025-09-02,2.0576287624862744e-05
2025-09-03,2.3862517537054373e-05
2025-09-04,1.709329308141605e-05
2025-09-05,2.637260604387848e-05
2025-09-06,2.5410162531140187e-05
2025-09-07,2.444771901840189e-05
2025-09-08,2.3485275505663594e-05
2025-09-09,2.25228319929253e-05
2025-09-10,2.1560388480187008e-05
2025-09-11,2.059794496744871e-05
2025-09-12,2.190936356782913e-05
2025-09-13,3.2866659239516594e-05
2025-09-14,2.4171728910005182e-05
2025-09-15,4.658046964323148e-05
2025-09-16,2.1582401586783817e-05
2025-09-17,2.508101965759124e-05
2025-09-18,2.8579637728398662e-05
2025-09-19,1.3379948995861923e-05
2025-09-20,1.90428738733317e-05
2025-09-21,2.885329013224691e-05
2025-09-22,6.753850539098494e-05
2025-09-23,6.167734682094306e-05
2025-09-24,0.0002320594940101728
2025-09-25,2.9034469662292395e-05
2025-09-26,2.619306633278029e-05
2025-09-27,1.5977304883563193e-05
2025-09-28,1.953233004314825e-05
2025-09-29,2.2721606455888832e-05
2025-09-30,2.4188139983986428e-05
2025-10-01,2.565467351208402e-05
2025-10-02,2.7121207040181616e-05
2025-10-03,3.334678967803484e-05
2025-10-04,5.866782430530293e-05
2025-10-05,1.5697173239459516e-05
2025-10-06,2.2906448521098355e-05
2025-10-07,4.353011718194466e-05
2025-10-08,5.282223992253421e-05
2025-10-09,0.00011513230856508017
2025-10-10,5.645584224112099e-05
2025-10-11,1.2314337254792918e-05
2025-10-12,1.51162423662754e-05
2025-10-13,2.1644318053404277e-05
2025-10-14,2.8172393740533156e-05
2025-10-15,2.641614037202089e-05
2025-10-16,2.4824573074511136e-05
2025-10-17,2.8262762953090718e-05
2025-10-18,2.188897678934154e-05
2025-10-19,2.1825158910360187e-05
2025-10-20,2.1672676302841866e-05
2025-10-21,2.152019369532354e-05
2025-10-22,2.136771108780522e-05
2025-10-23,2.1215228480286895e-05
2025-10-24,2.1062745872768573e-05
